Stufe;de;Drumpel;Drumpeler;
Stuhl;de;Stuul;Stuuln;
Suppe;deät;Sumo;-;
Sweatshirt;deät;Sweatshirt;Shirts;
Swimmingpool;deät;Swimmingpool;Swimmingpools;
Tablett;deät;Teebür;Teebürder;(-büddö)
Tafel;de;Toafel;Toafeler;
Tag;de;Dai;Doagen;
Tag und Nacht;-;Noach en Dai;-;
Tankstelle;deät;Tanksteed;Tanksteed'n;
Tankwagen;de;Tankwain;Tankwains;
Tante;de;Tante;Tanten;
tanzen;deät;springen;-;(das)
Tasche;de;Doos;Doosdeers;
Taschenkrebs;de;Skraap;Skraapen;
Tassenmesser;de;Taskenmes;Tasken;
Taschentuch;de;Skrapneesduk;Skrapneesduker;
Tasse;de;Kop;Koppen;
Tau;deät;Tau;Toagen;(das)
Taube;de;Diuw;Diiwen;
Taucher;de;Diiker;Diikers;
Taxi;de;Taksi;Taksis;
Teddy;de;Teddi;Teddis;
Tee;de;Tee;-;
Teelöffel;de;Weeterkill;Teelepel;
Teich;de;Kill;Killn;
Telefon;deät;Telefoon;Telefoons;
Teleskop;deät;Fiirkiiker;-;
Teller;de;Teller;Tellern;(ö)
Teppich;deät;Mat;Matten;
Thermometer;de;Termomeeter;Termomeeters;
Tierärztin;de;Diirdokter;Diirdokters;
Tiger;de;Tiger;Tigers;
Tisch;de;Dösk;Döske;
Tischdecke;de;Taffel;Taffeler;
Tischler;de;Dùkker;Dùkkers;
Tischtennis;deät;Taffeltennisspeln;-;
Toastbrot;deät;Toostbrood;Toostbrood'n;
Tochter;de;Dochter;Dochteren;
Toilette;de;Skin;Skin'n/Skins;
Toilettenpapier;deät;Toilettenpopiir;-;
Tomate;de;Tomoat;Tomoaten;
Topf;de;Pot;Potten;(klein)
Torte;de;Toort;Toorten;
Traktor;de;Trekker;Trekkers;
Treppe;de;Trap;Trapen;
Trillerpfeife;de;Floit;Floiten;
trinken;deät;drink;-;(unreg.)
Trommel;de;Bung;Bungen;
Trompete;de;Trumpet;Trumpetten;
Truthahn;de;Truutheen;Truutheener;
T-Shirt;deät;T-Shirt;T-Shirts;
Tunnel;de;Tünnel;Tünnels;
Türklinke;de;Draier;Draiers;
Turnen;deät;tùrnen;-;(das)
Turnhose;deät;Tùrnbrek;Tùrnbrekken;
Turnschuh;de;Tùrnsku;Tùrnsku;
U-Boot;deät;Oawnerseebooat;Oawnerseebooats;
Uhr;de;Klok;Kloken;
Umkleideraum;de;Omtirüm;Omtirümen;
unartig;-;bösterk/inoorti;-;
Unterhemd;deät;Önnerhemt;Önnerhemter;(-hömp), (-hömtö)
Unterhose;de;Önnerbrek;Önnerbrekken;
Untersetzer;de;Önskötter;Önskötterken;
Vater;-;Foor;-;
Verband;de;Ferband;Foorn;
Vetter;de;Kuseng;Kusengs;
Videokassette;de;Videokasset;Videokassetten;
Vogel;de;Fink;Finken;(-käfig)
Vogelbauer;deät;Finkbiiken;Finkbiikener;
Vogelnest;deät;Finkneäs;Finkneäster;
Vogelscheuche;de;Finkskrek;Finkskrekken;
Vorhang;de;Teerhang;Teerhänge;
Waage;de;Wech;Wechen;
Wagen;de;Wain;Wains;
Wald;de;Wolfdes;Wolfdesken;
Wand;de;Wal;Wälder;
Wanne;de;Woch;Wochen;
Wartezimmer;de;Teöwdörnsk;Teöwdörnsken;
Waschbecken;de;Waskbekken;Waskbekkens;
Waschmaschine;de;Waskmaskiin;Waskmaskiins;
Waschpulver;deät;Waskpullower;-;
Wasser;deät;Weeter;-;
Wasserfall;de;Weeterfal;Weeterfaln;
Wasserhahn;de;Weeterheen;Weeterheeneken(er);
Wasserlaufen;deät;Weeterloopen;-;(das)
Watte;deät;Watten;-;
Weg;de;Wai;Wain;
Wegweiser;de;Waiwiisder;Waiwiisders;
Weichgekochtes Ei;deät;wokekoket Ai;w. Aier;
Weihnachten;-;Winachen;-;
Weihnachtsmann;de;Winachenman;Winachenman'n;
Weihnachtsbaum;de;Winachenboam;Winachenboamen;
Weintraube;de;Wiindruug;Wiindruugen;
Welle;de;See;See'n;
Wellensittich;de;Welkensittich;Welkensittiche(n);
Welpe;de;Búppekener;Búppekener;
Welpe;de;djong Hìn;dj. Hünner;(unreg.)
Werkbank;deät;Höwwelbeenken;Höwwelbeenken;
Werkstatt;de;Werksted;Werksteed'n;alt. deel (ö), de
Werkzeugkasten;de;Werktichkeskes;Werktichkesken;
Wespe;de;Wesp;Wespen;
Wetter;deät;Wedder;-;(ö)
Wettrennen;deät;Om-Prüs-Loopen;-;
Wiese;de;Geärs;-;
Wind;de;Win;Win'n;
Windel;deät;Slont;Slonten;
Windmühle;de;Winmöln;Winmölns;
Windsurfen;deät;Winssurfen;-;(das)
Winter;de;Wonter;Wontern;
Wippe;de;Wüpper;Wüpperbùrder;(-büddö)
Wohnung;de;Wunnung;Wunnungen;
Wohnwagen;de;Wunnwain;Wunnwains;
Wohnzimmer;de;Wonndörnsk;Wonndörnsken;
Wolke;de;Wolk;Wolken;
Wolle;de;Wüller;Wüller;
Wort;deät;Wurd;Wùrder;(wüddö)
Würfel;de;Allas;Allassen;
Wurst;de;Wost;-;
Zahl;de;Taal;Taain;
Zahn;de;Teän;Teän'n;
Zahnärztin;deät;Teändokter;Teändokters;
Zahnbürste;de;Teänbossel;Teänbosseler;
Zahnpasta;deät;Teänpasta;Teänpastas;
Zapfsäule;de;Bensiinpump;Bensiinpumpen;
Zaun;de;Staak;Staaken;
Zebra;de;Seebra;Seebras;
Zebrastreifen;de;vii Streeken;-;*
Zehe;de;Tubän;Tubän'n;
Zeichnung;de;Teekening;Teekeningen;
Zeitschrift;de;Taitskrew;Taitskrewen;
Zelt;deät;Telt;Telten;
Zeuge;de;Seüch;Seügen;
Ziege;de;Tsitsten;Tsitstener;
Zielscheibe;de;Skuw;-;
Zimmerdecke;de;Deäk;Deäken;
Zinnsoldat;de;Blaisaldooat;Blaisaldooaten;
Zirkus;de;Sirkus;Sirkussen;
Zirkusdirektor;de;Sirkusdirekter;Sirkusdirekters;
Zitrone;de;Sütteroon;Sütteroon'n;
Zoo;de;Tu;-;(geschlossen)
Zucker;de;Sukker;-;
Zuckerwatte;deät;Sokkerwatten;-;
Zug;de;Tsuch;Zöge;
Zunge;de;Tong;Tongen;
Zweig;de;Twiig;Twiigen;
Zwiebel;deät;Looak;Looak;
Zwilling;de;Twaiöller;-;
Zylinderhut;de;Spint;Spinten;
